# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -4.706125 eV
#    Energy (eV)      DOS 
        -11.53799670          0.00000000
        -11.52899220          0.00000000
        -11.51998769          0.00000000
        -11.51098319          0.00000000
        -11.50197869          0.00000000
        -11.49297419          0.00000000
        -11.48396969          0.00000000
        -11.47496518          0.00000000
        -11.46596068          0.00000000
        -11.45695618          0.00000000
        -11.44795168          0.00000000
        -11.43894717          0.00000000
        -11.42994267          0.00000000
        -11.42093817          0.00000000
        -11.41193367          0.00000000
        -11.40292917          0.00000000
        -11.39392466          0.00000000
        -11.38492016          0.00000000
        -11.37591566          0.00000000
        -11.36691116          0.00000000
        -11.35790665          0.00000000
        -11.34890215          0.00000000
        -11.33989765          0.00000000
        -11.33089315          0.00000000
        -11.32188864          0.00000000
        -11.31288414          0.00000000
        -11.30387964          0.00000000
        -11.29487514          0.00000000
        -11.28587064          0.00000000
        -11.27686613          0.00000000
        -11.26786163          0.00000000
        -11.25885713          0.00000000
        -11.24985263          0.00000000
        -11.24084812          0.00000000
        -11.23184362          0.00000000
        -11.22283912          0.00000000
        -11.21383462          0.00000000
        -11.20483012          0.00000000
        -11.19582561          0.00000000
        -11.18682111          0.00000000
        -11.17781661          0.00000000
        -11.16881211          0.00000000
        -11.15980760          0.00000000
        -11.15080310          0.00000000
        -11.14179860          0.00000000
        -11.13279410          0.00000000
        -11.12378960          0.00000000
        -11.11478509          0.00000000
        -11.10578059          0.00000000
        -11.09677609          0.00000000
        -11.08777159          0.00000000
        -11.07876708          0.00000000
        -11.06976258          0.00000000
        -11.06075808          0.00000000
        -11.05175358          0.00000000
        -11.04274908          0.00000000
        -11.03374457          0.00000000
        -11.02474007          0.00000000
        -11.01573557          0.00000000
        -11.00673107          0.00000000
        -10.99772656          0.00000000
        -10.98872206          0.00000000
        -10.97971756          0.00000000
        -10.97071306          0.00000000
        -10.96170855          0.00000000
        -10.95270405          0.00000000
        -10.94369955          0.00000000
        -10.93469505          0.00000000
        -10.92569055          0.00000000
        -10.91668604          0.00000000
        -10.90768154          0.00000000
        -10.89867704          0.00000000
        -10.88967254          0.00000000
        -10.88066803          0.00000000
        -10.87166353          0.00000000
        -10.86265903          0.00000000
        -10.85365453          0.00000000
        -10.84465003          0.00000000
        -10.83564552          0.00000000
        -10.82664102          0.00000000
        -10.81763652          0.00000000
        -10.80863202          0.00000000
        -10.79962751          0.00000000
        -10.79062301          0.00000000
        -10.78161851          0.00000000
        -10.77261401          0.00000000
        -10.76360951          0.00000000
        -10.75460500          0.00000000
        -10.74560050          0.00000000
        -10.73659600          0.00000000
        -10.72759150          0.00000000
        -10.71858699          0.00000000
        -10.70958249          0.00000000
        -10.70057799          0.00000000
        -10.69157349          0.00000000
        -10.68256899          0.00000000
        -10.67356448          0.00000000
        -10.66455998          0.00000000
        -10.65555548          0.00000000
        -10.64655098          0.00000000
        -10.63754647          0.00000000
        -10.62854197          0.00000000
        -10.61953747          0.00000000
        -10.61053297          0.00000000
        -10.60152846          0.00000000
        -10.59252396          0.00000000
        -10.58351946          0.00000000
        -10.57451496          0.00000000
        -10.56551046          0.00000000
        -10.55650595          0.00000000
        -10.54750145          0.00000000
        -10.53849695          0.00000000
        -10.52949245          0.00000000
        -10.52048794          0.00000000
        -10.51148344          0.00000000
        -10.50247894          0.00000000
        -10.49347444          0.00000000
        -10.48446994          0.00000000
