# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
        -16.23511756          0.00000000
        -16.22611306          0.00000000
        -16.21710855          0.00000000
        -16.20810405          0.00000000
        -16.19909955          0.00000000
        -16.19009505          0.00000000
        -16.18109055          0.00000000
        -16.17208604          0.00000000
        -16.16308154          0.00000000
        -16.15407704          0.00000000
        -16.14507254          0.00000000
        -16.13606803          0.00000000
        -16.12706353          0.00000000
        -16.11805903          0.00000000
        -16.10905453          0.00000000
        -16.10005003          0.00000000
        -16.09104552          0.00000000
        -16.08204102          0.00000000
        -16.07303652          0.00000000
        -16.06403202          0.00000000
        -16.05502751          0.00000000
        -16.04602301          0.00000000
        -16.03701851          0.00000000
        -16.02801401          0.00000000
        -16.01900950          0.00000000
        -16.01000500          0.00000000
        -16.00100050          0.00000000
        -15.99199600          0.00000000
        -15.98299150          0.00000000
        -15.97398699          0.00000000
        -15.96498249          0.00000000
        -15.95597799          0.00000000
        -15.94697349          0.00000000
        -15.93796898          0.00000000
        -15.92896448          0.00000000
        -15.91995998          0.00000000
        -15.91095548          0.00000000
        -15.90195098          0.00000000
        -15.89294647          0.00000000
        -15.88394197          0.00000000
        -15.87493747          0.00000000
        -15.86593297          0.00000000
        -15.85692846          0.00000000
        -15.84792396          0.00000000
        -15.83891946          0.00000000
        -15.82991496          0.00000000
        -15.82091046          0.00000000
        -15.81190595          0.00000000
        -15.80290145          0.00000000
        -15.79389695          0.00000000
        -15.78489245          0.00000000
        -15.77588794          0.00000000
        -15.76688344          0.00000000
        -15.75787894          0.00000000
        -15.74887444          0.00000000
        -15.73986993          0.00000000
        -15.73086543          0.00000000
        -15.72186093          0.00000000
        -15.71285643          0.00000000
        -15.70385193          0.00000000
        -15.69484742          0.00000000
        -15.68584292          0.00000000
        -15.67683842          0.00000000
        -15.66783392          0.00000000
        -15.65882941          0.00000000
        -15.64982491          0.00000000
        -15.64082041          0.00000000
        -15.63181591          0.00000000
        -15.62281141          0.00000000
        -15.61380690          0.00000000
        -15.60480240          0.00000000
        -15.59579790          0.00000000
        -15.58679340          0.00000000
        -15.57778889          0.00000000
        -15.56878439          0.00000000
        -15.55977989          0.00000000
        -15.55077539          0.00000000
        -15.54177089          0.00000000
        -15.53276638          0.00000000
        -15.52376188          0.00000000
        -15.51475738          0.00000000
        -15.50575288          0.00000000
        -15.49674837          0.00000000
        -15.48774387          0.00000000
        -15.47873937          0.00000000
        -15.46973487          0.00000000
        -15.46073037          0.00000000
        -15.45172586          0.00000000
        -15.44272136          0.00000000
        -15.43371686          0.00000000
        -15.42471236          0.00000000
        -15.41570785          0.00000000
        -15.40670335          0.00000000
        -15.39769885          0.00000000
        -15.38869435          0.00000000
        -15.37968984          0.00000000
        -15.37068534          0.00000000
        -15.36168084          0.00000000
        -15.35267634          0.00000000
        -15.34367184          0.00000000
        -15.33466733          0.00000000
        -15.32566283          0.00000000
        -15.31665833          0.00000000
        -15.30765383          0.00000000
        -15.29864932          0.00000000
        -15.28964482          0.00000000
        -15.28064032          0.00000000
        -15.27163582          0.00000000
        -15.26263132          0.00000000
        -15.25362681          0.00000000
        -15.24462231          0.00000000
        -15.23561781          0.00000000
        -15.22661331          0.00000000
        -15.21760880          0.00000000
        -15.20860430          0.00000000
        -15.19959980          0.00000000
        -15.19059530          0.00000000
        -15.18159080          0.00000000
        -15.17258629          0.00000000
        -15.16358179          0.00000000
        -15.15457729          0.00000000
        -15.14557279          0.00000000
        -15.13656828          0.00000000
        -15.12756378          0.00000000
        -15.11855928          0.00000000
        -15.10955478          0.00000000
        -15.10055028          0.00000000
        -15.09154577          0.00000000
        -15.08254127          0.00000000
        -15.07353677          0.00000000
        -15.06453227          0.00000000
        -15.05552776          0.00000000
        -15.04652326          0.00000000
        -15.03751876          0.00000000
        -15.02851426          0.00000000
        -15.01950975          0.00000000
        -15.01050525          0.00000000
        -15.00150075          0.00000000
        -14.99249625          0.00000000
        -14.98349175          0.00000000
        -14.97448724          0.00000000
        -14.96548274          0.00000000
        -14.95647824          0.00000000
        -14.94747374          0.00000000
        -14.93846923          0.00031399
        -14.92946473          0.00307424
        -14.92046023          0.00868102
        -14.91145573          0.01713433
        -14.90245123          0.02843416
        -14.89344672          0.04258053
        -14.88444222          0.05891521
        -14.87543772          0.07459062
        -14.86643322          0.08738641
        -14.85742871          0.09730281
        -14.84842421          0.10433983
        -14.83941971          0.10849747
        -14.83041521          0.11039762
        -14.82141071          0.11189260
        -14.81240620          0.11423056
        -14.80340170          0.11764576
        -14.79439720          0.12213821
        -14.78539270          0.12770789
        -14.77638819          0.13429502
        -14.76738369          0.14121914
        -14.75837919          0.14828823
        -14.74937469          0.15550229
        -14.74037019          0.16269184
        -14.73136568          0.16951152
        -14.72236118          0.17595121
        -14.71335668          0.18195589
        -14.70435218          0.18695299
        -14.69534767          0.19080043
        -14.68634317          0.19412800
        -14.67733867          0.19730955
        -14.66833417          0.20038566
        -14.65932966          0.20347356
        -14.65032516          0.20667264
        -14.64132066          0.21037254
        -14.63231616          0.21435163
        -14.62331166          0.21853543
        -14.61430715          0.22293210
        -14.60530265          0.22743021
        -14.59629815          0.23191387
        -14.58729365          0.23638308
        -14.57828914          0.24083785
        -14.56928464          0.24527817
        -14.56028014          0.24970403
        -14.55127564          0.25411545
        -14.54227114          0.25865280
        -14.53326663          0.26348023
        -14.52426213          0.26859800
        -14.51525763          0.27400610
        -14.50625313          0.27964191
        -14.49724862          0.28527474
        -14.48824412          0.29081515
        -14.47923962          0.29614155
        -14.47023512          0.30127714
        -14.46123062          0.30636281
        -14.45222611          0.31130843
        -14.44322161          0.31603717
        -14.43421711          0.32053860
        -14.42521261          0.32483966
        -14.41620810          0.32902561
        -14.40720360          0.33309519
        -14.39819910          0.33707102
        -14.38919460          0.34111897
        -14.38019010          0.34527238
        -14.37118559          0.34953124
        -14.36218109          0.35383895
        -14.35317659          0.35811431
        -14.34417209          0.36276925
        -14.33516758          0.36823607
        -14.32616308          0.37422319
        -14.31715858          0.38035968
        -14.30815408          0.38664374
        -14.29914957          0.39301183
        -14.29014507          0.39925792
        -14.28114057          0.40536783
        -14.27213607          0.41136949
        -14.26313157          0.41739792
        -14.25412706          0.42347098
        -14.24512256          0.42958865
        -14.23611806          0.43575094
        -14.22711356          0.44195784
        -14.21810905          0.44812634
        -14.20910455          0.45433217
        -14.20010005          0.46059629
        -14.19109555          0.46693817
        -14.18209105          0.47306268
        -14.17308654          0.47915705
        -14.16408204          0.48542168
        -14.15507754          0.49216522
        -14.14607304          0.49944558
        -14.13706853          0.50724964
        -14.12806403          0.51548665
        -14.11905953          0.52390733
        -14.11005503          0.53245612
        -14.10105053          0.54114363
        -14.09204602          0.54994034
        -14.08304152          0.55871130
        -14.07403702          0.56737084
        -14.06503252          0.57590623
        -14.05602801          0.58431879
        -14.04702351          0.59272179
        -14.03801901          0.60115462
        -14.02901451          0.60961726
        -14.02001001          0.61811039
        -14.01100550          0.62664776
        -14.00200100          0.63523480
        -13.99299650          0.64394213
        -13.98399200          0.65635239
        -13.97498749          0.66941741
        -13.96598299          0.68282556
        -13.95697849          0.69656991
        -13.94797399          0.71064777
        -13.93896948          0.72452631
        -13.92996498          0.73728812
        -13.92096048          0.74988924
        -13.91195598          0.76263902
        -13.90295148          0.77559829
        -13.89394697          0.78875272
        -13.88494247          0.80204960
        -13.87593797          0.81573026
        -13.86693347          0.83102162
        -13.85792896          0.84909864
        -13.84892446          0.86953155
        -13.83991996          0.89218003
        -13.83091546          0.91692734
        -13.82191096          0.94356269
        -13.81290645          0.97135606
        -13.80390195          0.99983780
        -13.79489745          1.02751247
        -13.78589295          1.05779369
        -13.77688844          1.08916478
        -13.76788394          1.12390886
        -13.75887944          1.17030135
        -13.74987494          1.21892239
        -13.74087044          1.26919099
        -13.73186593          1.32149188
        -13.72286143          1.37694927
        -13.71385693          1.44403452
        -13.70485243          1.52246541
        -13.69584792          1.62635152
        -13.68684342          1.86710094
        -13.67783892          2.12099535
        -13.66883442          2.39969718
        -13.65982991          2.53924179
        -13.65082541          2.61572058
        -13.64182091          2.64941007
        -13.63281641          2.59317144
        -13.62381191          2.52181811
        -13.61480740          2.43459670
        -13.60580290          2.32180550
        -13.59679840          2.26778660
        -13.58779390          2.22776152
        -13.57878939          2.19541553
        -13.56978489          2.16182025
        -13.56078039          2.12182047
        -13.55177589          2.08374656
        -13.54277139          2.04559990
        -13.53376688          2.00507687
        -13.52476238          1.95844587
        -13.51575788          1.90870583
        -13.50675338          1.86008507
        -13.49774887          1.81355504
        -13.48874437          1.76677560
        -13.47973987          1.72173541
        -13.47073537          1.67657179
        -13.46173087          1.64875418
        -13.45272636          1.62487100
        -13.44372186          1.59593337
        -13.43471736          1.55743690
        -13.42571286          1.51812649
        -13.41670835          1.48701006
        -13.40770385          1.45888227
        -13.39869935          1.43103347
        -13.38969485          1.40321933
        -13.38069035          1.37700401
        -13.37168584          1.35293154
        -13.36268134          1.33084199
        -13.35367684          1.31106351
        -13.34467234          1.29399935
        -13.33566783          1.27904825
        -13.32666333          1.26584357
        -13.31765883          1.25226594
        -13.30865433          1.23899416
        -13.29964982          1.22592029
        -13.29064532          1.20828236
        -13.28164082          1.19664293
        -13.27263632          1.19098518
        -13.26363182          1.21765050
        -13.25462731          1.26782153
        -13.24562281          1.31048686
        -13.23661831          1.32040605
        -13.22761381          1.37196699
        -13.21860930          1.42790122
        -13.20960480          1.49048160
        -13.20060030          1.56566873
        -13.19159580          1.66697532
        -13.18259130          1.80311488
        -13.17358679          1.99909925
        -13.16458229          2.29486176
        -13.15557779          2.41027393
        -13.14657329          2.54702871
        -13.13756878          2.76199460
        -13.12856428          3.02639101
        -13.11955978          3.19904284
        -13.11055528          3.26873915
        -13.10155078          3.33923996
        -13.09254627          3.40182353
        -13.08354177          3.46259821
        -13.07453727          3.51838920
        -13.06553277          3.58410433
        -13.05652826          3.67570903
        -13.04752376          3.74211894
        -13.03851926          3.78282324
        -13.02951476          3.79884476
        -13.02051026          3.83777284
        -13.01150575          3.87303501
        -13.00250125          3.89476877
        -12.99349675          3.93535224
        -12.98449225          3.95553082
        -12.97548774          4.12374945
        -12.96648324          4.29083035
        -12.95747874          4.46368751
        -12.94847424          4.61935495
        -12.93946973          4.80640474
        -12.93046523          5.05923182
        -12.92146073          5.36005967
        -12.91245623          5.40329098
        -12.90345173          5.18048532
        -12.89444722          4.76658618
        -12.88544272          4.73777204
        -12.87643822          4.80325812
        -12.86743372          4.86407982
        -12.85842921          4.94750817
        -12.84942471          4.99295176
        -12.84042021          5.15454951
        -12.83141571          5.16219900
        -12.82241121          4.99307537
        -12.81340670          4.82214739
        -12.80440220          4.65107766
        -12.79539770          4.46537524
        -12.78639320          4.26582949
        -12.77738869          4.12308984
        -12.76838419          4.01456167
        -12.75937969          4.03937436
        -12.75037519          4.16296974
        -12.74137069          4.33882378
        -12.73236618          4.56146401
        -12.72336168          4.79207535
        -12.71435718          4.98667423
        -12.70535268          5.17474338
        -12.69634817          5.48513694
        -12.68734367          5.70306572
        -12.67833917          6.33308295
        -12.66933467          7.06594020
        -12.66033017          7.19409711
        -12.65132566          7.56327326
        -12.64232116          7.42992034
        -12.63331666          7.41772633
        -12.62431216          6.80357461
        -12.61530765          6.41861698
        -12.60630315          6.11277624
        -12.59729865          5.87644368
        -12.58829415          5.62616369
        -12.57928964          5.35780304
        -12.57028514          4.86873327
        -12.56128064          4.85692673
        -12.55227614          5.43728881
        -12.54327164          5.70453508
        -12.53426713          6.00963061
        -12.52526263          5.72040795
        -12.51625813          5.57833784
        -12.50725363          5.45371542
        -12.49824912          5.32687815
        -12.48924462          5.13080033
        -12.48024012          4.86762793
        -12.47123562          4.58475776
        -12.46223112          4.41755575
        -12.45322661          4.31232579
        -12.44422211          4.24939702
        -12.43521761          4.22141396
        -12.42621311          4.15927613
        -12.41720860          4.08968574
        -12.40820410          4.02060643
        -12.39919960          3.94994025
        -12.39019510          3.87369616
        -12.38119060          3.79996148
        -12.37218609          3.75113513
        -12.36318159          3.67254257
        -12.35417709          3.58230588
        -12.34517259          3.49058308
        -12.33616808          3.41899732
        -12.32716358          3.41567062
        -12.31815908          3.42093635
        -12.30915458          3.44332033
        -12.30015008          3.47402289
        -12.29114557          3.40582915
        -12.28214107          3.36105180
        -12.27313657          3.30365708
